topic,subtopic,name,equation_latex,description_from_image,formula_in_plain_english,description_from_gemini,sympy_formula
Physical Fundamentals of Mechanics,"Laws of Conservation of Energy, Momentum, and Angular Momentum",Angular momentum of a system (relative to center of inertia),\mathbf{M} = \bar{\mathbf{M}} + [\mathbf{r}_C \mathbf{p}],"where $\bar{\mathbf{M}}$ is its angular momentum in the system of the centre of inertia, $\mathbf{r}_C$ is the radius vector of the centre of inertia, and $\mathbf{p}$ is the momentum of the system.",The total angular momentum of a system about an origin is the sum of its angular momentum about its center of mass and the angular momentum of the center of mass itself about the same origin.,"This formula, often called the angular momentum decomposition theorem or a rotational analogue of the parallel axis theorem, expresses the total angular momentum ($\mathbf{M}$) of a system about an arbitrary origin as the sum of two components: the angular momentum relative to the center of mass ($\bar{\mathbf{M}}$) and the angular momentum of the center of mass treated as a point particle about the origin ($[\mathbf{r}_C \mathbf{p}]$). It is crucial for simplifying calculations of angular momentum for complex systems by separating the motion relative to the center of mass from the motion of the center of mass itself.","from sympy import Eq; from sympy.physics.vector import Vector, cross; M_sym = Vector('M'); M_bar_sym = Vector('M_bar'); r_C_sym = Vector('r_C'); p_sym = Vector('p'); Eq(M_sym, M_bar_sym + cross(r_C_sym, p_sym))"
Physical Fundamentals of Mechanics,Universal Gravitation,Universal Gravitation Law,F = \gamma \frac{m_1 m_2}{r^2},Universal gravitation law,"Force equals gravitational constant times mass one times mass two, divided by the square of the distance between them.","This formula describes the attractive gravitational force (F) between two point masses, m1 and m2, separated by a distance r. gamma is the gravitational constant. It is used to calculate the gravitational attraction between any two objects with mass.","Eq(F, gamma * m1 * m2 / r_dist**2)"
Physical Fundamentals of Mechanics,Universal Gravitation,Kepler's Third Law,T^2 \propto a^3,Kepler's Third Law: The squares of the periods of revolution of planets are proportional to the cubes of the major semiaxes of their orbits.,The square of the orbital period is proportional to the cube of the semi-major axis of the orbit.,"This law states that for any two planets orbiting the same central body, the ratio of the squares of their orbital periods (T) to the cubes of their semi-major axes (a) is constant. It is used to relate the orbital period of a planet to the size of its orbit.","Eq(T**2, k * a**3)"
Physical Fundamentals of Mechanics,Universal Gravitation,Gravitational Field Strength,G = - \gamma \frac{m}{r^3} r,Strength G and potential φ of the gravitational field of a mass point,"Gravitational field strength vector G equals negative gravitational constant times mass m, divided by the cube of the magnitude of the position vector r, multiplied by the position vector r.","This formula describes the gravitational field strength (G, a vector) at a point due to a point mass m. gamma is the gravitational constant, r is the position vector from the mass to the point, and r^3 implies the cube of its magnitude. It is used to determine the gravitational force experienced by a test mass in the field.","Eq(G_field_vec, -gamma * m_source / r_mag**3 * r_vec)"
Physical Fundamentals of Mechanics,Universal Gravitation,Gravitational Potential,\varphi = - \gamma \frac{m}{r},Strength G and potential φ of the gravitational field of a mass point,"Gravitational potential phi equals negative gravitational constant times mass m, divided by the distance r.","This formula describes the gravitational potential energy per unit mass (φ, a scalar) at a distance r from a point mass m. gamma is the gravitational constant. It is used to calculate the potential energy of an object in a gravitational field.","Eq(phi, -gamma * m_source / r_dist)"
Physical Fundamentals of Mechanics,Universal Gravitation,Orbital Velocity (First Cosmic Velocity),v_1 = \sqrt{g R},Orbital and escape velocities,Orbital velocity v1 equals the square root of gravitational acceleration g times radius R.,"This formula calculates the minimum velocity (v1) required for an object to maintain a stable circular orbit just above the surface of a celestial body, where g is the surface gravity and R is the body's radius. It is also known as the first cosmic velocity.","Eq(v1, sqrt(g * R_radius))"
Physical Fundamentals of Mechanics,Universal Gravitation,Escape Velocity (Second Cosmic Velocity),v_2 = \sqrt{2} v_1,Orbital and escape velocities,Escape velocity v2 equals square root of two times orbital velocity v1.,This formula relates the escape velocity (v2) to the orbital velocity (v1). Escape velocity is the minimum speed an object needs to break free from the gravitational pull of a massive body without further propulsion. It is also known as the second cosmic velocity.,"Eq(v2, sqrt(2) * v1)"
Physical Fundamentals of Mechanics,Dynamics of a Solid Body,Equation of Rotational Dynamics,I \beta_z = N_z,"Equation of dynamics of a solid body rotating about a stationary axis $z$, where $N_z$ is the algebraic sum of the moments of external forces relative to the $z$ axis.",The moment of inertia times the angular acceleration about the z-axis equals the net torque about the z-axis.,"This equation describes the rotational motion of a rigid body about a fixed axis. It's the rotational analogue of Newton's second law ($F=ma$), relating the net torque ($N_z$) to the angular acceleration ($eta_z$) through the moment of inertia ($I$). It's used to analyze how torques cause changes in angular velocity.","Eq(I * beta_z, N_z)"
Physical Fundamentals of Mechanics,Dynamics of a Solid Body,Steiner's Theorem (Parallel Axis Theorem),I = I_C + m a^2,According to Steiner's theorem.,The moment of inertia about any axis is equal to the moment of inertia about a parallel axis through the center of mass plus the product of the mass and the square of the distance between the two axes.,"Steiner's theorem, also known as the Parallel Axis Theorem, allows calculating the moment of inertia ($I$) of a rigid body about any axis, given its moment of inertia ($I_C$) about a parallel axis passing through its center of mass, its mass ($m$), and the perpendicular distance ($a$) between the two axes. It's useful for simplifying calculations of moments of inertia for complex systems or when the axis of rotation is not through the center of mass.","Eq(I, I_C + m * a**2)"
Physical Fundamentals of Mechanics,Dynamics of a Solid Body,Rotational Kinetic Energy,T = \frac{1}{2} I \omega^2,Kinetic energy of a solid body rotating about a stationary axis.,The kinetic energy of a rotating body is one-half times its moment of inertia times the square of its angular velocity.,"This formula calculates the kinetic energy ($T$) of a rigid body rotating about a fixed axis. It's the rotational analogue of translational kinetic energy ($\frac{1}{2}mv^2$), where moment of inertia ($I$) replaces mass and angular velocity ($\omega$) replaces linear velocity. It's used to analyze energy conservation in rotational systems.","Eq(T, S(1)/2 * I * omega**2)"
Physical Fundamentals of Mechanics,Dynamics of a Solid Body,Work Done by Torque,"A = \int N_z \, d\varphi",Work performed by external forces during the rotation of a solid body about a stationary axis.,The work done is the integral of the torque about the z-axis with respect to the angular displacement.,"This equation defines the work ($A$) done by a variable torque ($N_z$) acting on a rotating body as it undergoes an angular displacement ($d\varphi$). It's the rotational analogue of work done by a force ($W = \int F \, dx$). It's used to calculate energy transfer due to rotational forces.","Eq(A, Integral(N_z, phi))"
Physical Fundamentals of Mechanics,Dynamics of a Solid Body,Kinetic Energy in Plane Motion,T = \frac{I_C \omega^2}{2} + \frac{m v_C^2}{2},Kinetic energy of a solid body in plane motion.,The total kinetic energy of a body in plane motion is the sum of its rotational kinetic energy about its center of mass and its translational kinetic energy of its center of mass.,"This formula describes the total kinetic energy ($T$) of a rigid body undergoing general plane motion. It states that the total kinetic energy is the sum of the kinetic energy due to rotation about its center of mass ($I_C \omega^2 / 2$) and the kinetic energy due to the translation of its center of mass ($m v_C^2 / 2$). It's crucial for analyzing the energy of objects that are both rotating and translating, like a rolling wheel.","Eq(T, S(1)/2 * I_C * omega**2 + S(1)/2 * m * v_C**2)"
Physical Fundamentals of Mechanics,Dynamics of a Solid Body,Gyroscopic Precession Equation,[\omega' \mathbf{M}] = \mathbf{N},"Relationship between the angular velocity $\omega'$ of gyroscope precession, its angular momentum $\mathbf{M}$ equal to $I\omega$, and the moment $\mathbf{N}$ of the external forces.",The vector cross product of the precession angular velocity and the angular momentum vector equals the external torque vector.,"This equation describes the precession of a gyroscope. It states that the external torque ($\mathbf{N}$) acting on a gyroscope is equal to the vector cross product of its precession angular velocity ($\omega'$) and its angular momentum ($\mathbf{M}$). This relationship explains why a spinning top or gyroscope precesses when subjected to a torque, rather than simply falling over.","Eq(cross(omega_prime, M), N)"
Physical Fundamentals of Mechanics,Elastic Deformations of a Solid Body,Hooke's Law for Tensile/Compressive Strain,\varepsilon = \sigma / E,Relation between tensile (compressive) strain $\varepsilon$ and stress $\sigma$. where $E$ is Young's modulus.,Strain equals stress divided by Young's modulus.,"This formula describes Hooke's Law for elastic deformation, stating that the tensile or compressive strain ($\varepsilon$) in a material is directly proportional to the applied stress ($\sigma$) and inversely proportional to Young's modulus ($E$). It's used to calculate the deformation of a material under axial load within its elastic limit.","Eq(varepsilon, sigma / E)"
Physical Fundamentals of Mechanics,Elastic Deformations of a Solid Body,Poisson's Ratio Relation,\varepsilon' = -\mu\varepsilon,Relation between lateral compressive (tensile) strain $\varepsilon'$ and longitudinal tensile (compressive) strain $\varepsilon$. where $\mu$ is Poisson's ratio.,Lateral strain equals negative Poisson's ratio times longitudinal strain.,"This formula defines the relationship between lateral strain ($\varepsilon'$) and longitudinal strain ($\varepsilon$) through Poisson's ratio ($\mu$). It indicates that when a material is stretched or compressed in one direction, it tends to contract or expand in the perpendicular directions, respectively. The negative sign signifies that tensile longitudinal strain causes compressive lateral strain, and vice-versa. It's used to predict dimensional changes in materials under uniaxial stress.","Eq(varepsilon_prime, -mu * varepsilon)"
Physical Fundamentals of Mechanics,Elastic Deformations of a Solid Body,Hooke's Law for Shear Strain,\gamma = \tau / G,Relation between shear strain $\gamma$ and tangential stress $\tau$. where $G$ is shear modulus.,Shear strain equals tangential stress divided by shear modulus.,"This formula describes Hooke's Law for shear deformation, stating that shear strain ($\gamma$) is directly proportional to the tangential (shear) stress ($\tau$) and inversely proportional to the shear modulus ($G$). It's used to calculate the angular deformation of a material subjected to shear forces within its elastic limit.","Eq(gamma, tau / G)"
Physical Fundamentals of Mechanics,Elastic Deformations of a Solid Body,Compressibility,\beta = -\frac{1}{V} \frac{dV}{d\rho},Compressibility.,Compressibility equals negative one over volume times the derivative of volume with respect to rho.,"This formula defines compressibility ($\beta$) as the negative fractional change in volume ($V$) with respect to a change in $\rho$. The exact nature of $\rho$ is not specified in the provided text, but typically compressibility relates to changes in volume due to pressure. If $\rho$ represents pressure, this formula quantifies how much a material's volume changes under pressure.","Eq(beta, - (1/V) * Derivative(V, rho))"
Physical Fundamentals of Mechanics,Elastic Deformations of a Solid Body,Volume Density of Elastic Strain Energy (Tensile/Compressive),u = E\varepsilon^2/2,Volume density of elastic strain energy.,"Volume density of elastic strain energy equals Young's modulus times strain squared, divided by two.",This formula calculates the elastic strain energy stored per unit volume ($u$) in a material undergoing tensile or compressive deformation. It's derived from the area under the stress-strain curve within the elastic region and is used to quantify the energy absorbed by a material when it deforms elastically.,"Eq(u, E * varepsilon**2 / 2)"
Physical Fundamentals of Mechanics,Elastic Deformations of a Solid Body,Volume Density of Elastic Strain Energy (Shear),u = G\gamma^2/2,Volume density of elastic strain energy.,"Volume density of elastic strain energy equals shear modulus times shear strain squared, divided by two.","This formula calculates the elastic strain energy stored per unit volume ($u$) in a material undergoing shear deformation. Similar to tensile/compressive strain energy, it represents the energy absorbed by the material due to shear forces within its elastic limit.","Eq(u, G * gamma**2 / 2)"
Physical Fundamentals of Mechanics,Hydrodynamics,Eulerian Equation of Hydrodynamics,\rho \frac{d\mathbf{v}}{dt} = \mathbf{f} - \nabla p,"The fundamental equation of hydrodynamics of ideal fluid (Eulerian equation): where $\rho$ is the fluid density, $\mathbf{f}$ is the volume density of mass forces ($\mathbf{f} = \rho g$ in the case of gravity), $\nabla p$ is the pressure gradient.",Fluid density times the material derivative of velocity equals the volume density of mass forces minus the pressure gradient.,"This equation describes the motion of an ideal (inviscid and incompressible) fluid. It's a form of Newton's second law for fluids, relating the acceleration of a fluid parcel to the forces acting on it (pressure gradient and external body forces). It's used to analyze fluid flow dynamics where viscosity is negligible.","from sympy import symbols, Eq, Derivative, Symbol
rho, t = symbols('rho t')
v = Symbol('v', is_vector=True)
f = Symbol('f', is_vector=True)
nabla_p = Symbol('nabla_p', is_vector=True)
Eq(rho * Derivative(v, t), f - nabla_p)"
Physical Fundamentals of Mechanics,Hydrodynamics,Bernoulli's Equation,\frac{\rho v^2}{2} + \rho g h + p = \text{const},Bernoulli's equation. In the steady flow of an ideal fluid along any streamline.,"Half of fluid density times velocity squared, plus fluid density times gravitational acceleration times height, plus pressure, equals a constant.","This equation describes the conservation of energy for a steady, incompressible, and inviscid fluid flow along a streamline. It relates pressure, fluid speed, and height at different points in the flow. It's used to analyze fluid dynamics in situations like pipe flow, aerodynamics, and hydraulics where energy losses due to viscosity are negligible.","from sympy import symbols, Eq
rho, v, g, h, p, C = symbols('rho v g h p C')
Eq(rho * v**2 / 2 + rho * g * h + p, C)"
Physical Fundamentals of Mechanics,Hydrodynamics,Reynolds Number,\mathrm{Re} = \rho v l / \eta,"Reynolds number defining the flow pattern of a viscous fluid: where $l$ is a characteristic length, $\eta$ is the fluid viscosity.","Reynolds number equals fluid density times fluid velocity times characteristic length, divided by fluid viscosity.","The Reynolds number is a dimensionless quantity used to predict flow patterns in different fluid flow situations. It represents the ratio of inertial forces to viscous forces. A low Reynolds number indicates laminar (smooth) flow, while a high Reynolds number indicates turbulent flow. It's crucial in fluid mechanics for scaling experiments and designing fluid systems.","from sympy import symbols, Eq
Re, rho, v, l, eta = symbols('Re rho v l eta')
Eq(Re, rho * v * l / eta)"
